"Country or Area";"Subgroup";"Year";"Source";"Unit";"Value";"Value Footnotes"
"Austria";"Female 15+ yr";"1990";"ILO_KILM Database 5ed_2007";"Percent";"3.6";"20"
"Austria";"Female 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"3.6";"20"
"Austria";"Female 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"4.0";"20"
"Austria";"Female 15+ yr";"1987";"ILO_KILM Database 5ed_2007";"Percent";"4.1";"20"
"Austria";"Female 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"3.1";"20"
"Austria";"Female 15+ yr";"1985";"ILO_KILM Database 5ed_2007";"Percent";"3.5";"20"
"Austria";"Male 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"4.9";"19"
"Austria";"Male 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"4.5";"19"
"Austria";"Male 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"4.3";"19"
"Austria";"Male 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"4.1";"19"
"Austria";"Male 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"3.5";"19"
"Austria";"Male 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"3.3";"19"
"Austria";"Male 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"3.7";"19"
"Austria";"Male 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"4.0";"19"
"Austria";"Male 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"3.9";"19"
"Austria";"Male 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"3.9";"19"
"Austria";"Male 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"3.2";"19"
"Austria";"Male 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"3.3";"19"
"Austria";"Male 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"4.1";"20"
"Austria";"Male 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"3.5";"20"
"Austria";"Male 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"3.3";"20"
"Austria";"Male 15+ yr";"1990";"ILO_KILM Database 5ed_2007";"Percent";"3.0";"20"
"Austria";"Male 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"2.8";"20"
"Austria";"Male 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"3.3";"20"
"Austria";"Male 15+ yr";"1987";"ILO_KILM Database 5ed_2007";"Percent";"3.6";"20"
"Austria";"Male 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"3.2";"20"
"Austria";"Male 15+ yr";"1985";"ILO_KILM Database 5ed_2007";"Percent";"3.6";"20"
"Azerbaijan";"Female 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"9.5";"1"
"Azerbaijan";"Male 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"7.6";"1"
"Bahamas";"Female 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"11.2";"21"
"Bahamas";"Female 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"11.1";"22"
"Bahamas";"Female 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"11.7";"22"
"Bahamas";"Female 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"9.4";"22"
"Bahamas";"Female 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"7.0";"22"
"Bahamas";"Female 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"9.5";"22"
"Bahamas";"Female 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"9.5";"22"
"Bahamas";"Female 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"11.3";"22"
"Bahamas";"Female 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"14.7";"22"
"Bahamas";"Female 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"11.7";"22"
"Bahamas";"Female 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"14.2";"22"
"Bahamas";"Female 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"13.3";"22"
"Bahamas";"Female 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"15.8";"22"
"Bahamas";"Female 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"12.2";"22"
"Bahamas";"Female 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"12.5";"21"
"Bahamas";"Female 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"14.2";"23"
"Bahamas";"Female 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"15.0";"23"
"Bahamas";"Male 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"9.3";"21"
"Bahamas";"Male 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"9.5";"22"
"Bahamas";"Male 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"10.0";"22"
"Bahamas";"Male 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"8.7";"22"
"Bahamas";"Male 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"6.7";"22"
"Bahamas";"Male 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"5.5";"22"
"Bahamas";"Male 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"5.7";"22"
"Bahamas";"Male 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"8.3";"22"
"Bahamas";"Male 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"8.6";"22"
"Bahamas";"Male 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"10.0";"22"
"Bahamas";"Male 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"12.6";"22"
"Bahamas";"Male 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"12.8";"22"
"Bahamas";"Male 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"13.8";"22"
"Bahamas";"Male 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"12.1";"22"
"Bahamas";"Male 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"11.0";"21"
"Bahamas";"Male 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"8.2";"23"
"Bahamas";"Male 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"9.7";"23"
"Bahrain";"Female 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"10.0";"24"
"Bahrain";"Male 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"3.9";"24"
"Bangladesh";"Female 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"4.9";"25"
"Bangladesh";"Female 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"3.3";"25"
"Bangladesh";"Female 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"2.2";"25"
"Bangladesh";"Female 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"1.9";"26"
"Bangladesh";"Female 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"1.1";"26"
"Bangladesh";"Female 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"3.3";"26"
"Bangladesh";"Female 15+ yr";"1985";"ILO_KILM Database 5ed_2007";"Percent";"5.6";"26"
"Bangladesh";"Male 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"4.2";"25"
"Bangladesh";"Male 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"3.2";"25"
"Bangladesh";"Male 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"2.7";"25"
"Bangladesh";"Male 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"2.0";"26"
"Bangladesh";"Male 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"1.3";"26"
"Bangladesh";"Male 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"0.8";"26"
"Bangladesh";"Male 15+ yr";"1985";"ILO_KILM Database 5ed_2007";"Percent";"1.4";"26"
"Barbados";"Female 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"10.5";"27"
"Barbados";"Female 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"12.6";"27"
"Barbados";"Female 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"12.4";"28"
"Barbados";"Female 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"11.9";"28"
"Barbados";"Female 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"11.5";"28"
"Barbados";"Female 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"13.3";"28"
"Barbados";"Female 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"16.4";"28"
"Barbados";"Female 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"17.8";"27"
"Barbados";"Female 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"17.8";"27"
"Barbados";"Female 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"22.9";"27"
"Barbados";"Female 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"27.9";"27"
"Barbados";"Female 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"27.7";"28"
"Barbados";"Female 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"25.7";"27"
"Barbados";"Female 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"21.0";"27"
"Barbados";"Female 15+ yr";"1990";"ILO_KILM Database 5ed_2007";"Percent";"20.2";"29"
"Barbados";"Female 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"18.7";"30"
"Barbados";"Female 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"23.0";"31"
"Barbados";"Female 15+ yr";"1987";"ILO_KILM Database 5ed_2007";"Percent";"23.1";"27"
"Barbados";"Female 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"23.0";"27"
"Barbados";"Female 15+ yr";"1985";"ILO_KILM Database 5ed_2007";"Percent";"24.0";"28"
"Barbados";"Male 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"8.9";"27"
"Barbados";"Male 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"9.5";"27"
"Barbados";"Male 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"8.2";"28"
"Barbados";"Male 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"8.0";"28"
"Barbados";"Male 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"7.5";"28"
"Barbados";"Male 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"7.7";"28"
"Barbados";"Male 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"8.4";"28"
"Barbados";"Male 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"11.4";"27"
"Barbados";"Male 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"11.7";"27"
"Barbados";"Male 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"16.5";"27"
"Barbados";"Male 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"18.3";"27"
"Barbados";"Male 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"21.5";"28"
"Barbados";"Male 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"20.5";"27"
"Barbados";"Male 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"13.5";"27"
"Barbados";"Male 15+ yr";"1990";"ILO_KILM Database 5ed_2007";"Percent";"10.3";"29"
"Barbados";"Male 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"9.1";"30"
"Barbados";"Male 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"12.3";"31"
"Barbados";"Male 15+ yr";"1987";"ILO_KILM Database 5ed_2007";"Percent";"13.3";"27"
"Barbados";"Male 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"13.0";"27"
"Barbados";"Male 15+ yr";"1985";"ILO_KILM Database 5ed_2007";"Percent";"14.1";"28"
"Belgium";"Female 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"9.0";"32"
"Belgium";"Female 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"8.3";"32"
"Belgium";"Female 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"8.0";"32"
"Belgium";"Female 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"7.8";"32"
"Belgium";"Female 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"6.9";"32"
"Belgium";"Female 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"8.3";"32"
"Belgium";"Female 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"10.2";"32"
"Belgium";"Female 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"11.7";"32"
"Belgium";"Female 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"11.5";"32"
"Belgium";"Female 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"12.4";"32"
"Belgium";"Female 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"12.2";"32"
"Belgium";"Female 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"12.4";"32"
"Belgium";"Female 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"10.8";"32"
"Belgium";"Female 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"9.5";"33"
"Belgium";"Female 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"10.6";"32"
"Belgium";"Female 15+ yr";"1990";"ILO_KILM Database 5ed_2007";"Percent";"11.4";"32"
"Belgium";"Female 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"13.0";"32"
"Belgium";"Female 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"15.2";"32"
"Belgium";"Female 15+ yr";"1987";"ILO_KILM Database 5ed_2007";"Percent";"17.6";"32"
"Belgium";"Female 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"17.9";"32"
"Belgium";"Female 15+ yr";"1985";"ILO_KILM Database 5ed_2007";"Percent";"17.8";"32"
"Belgium";"Male 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"7.4";"32"
"Belgium";"Male 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"6.6";"32"
"Belgium";"Male 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"7.4";"32"
"Belgium";"Male 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"6.2";"32"
